,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
CD151,0.045880386,0.437035575,0.208120042,0.625656048,1.005803878,0.439900868,0.647605346,0.008723072,0.347569991,0.389902312,-0.0528559,0.565081475,-0.551875953,0.643142324,0.864301275,0.372903423,-0.209900093,-0.098808904,0.212115568,0.258891017,-0.095366983,0.475946036,-0.153002659,0.021525652,0.719934448,-0.216597994,0.362874803,-3.58497977,-0.365682576,0.011875465,0.011752379,0.193770968,-0.852499863,-3.58497977,-3.58497977,-0.098881612,0.658342129,-0.556139429,-0.397091145,0.17340728,0.031883885,0.647527295,0.363288306,0.726292729,0.982931544,0.254551239,0.736563802,0.114731612,0.488440599,0.355369652
CDH2,0.466280667,0.541981467,0.511385368,0.836799968,0.486282279,1.11403073,0.322885758,0.554870649,0.265882987,0.964234854,0.42714549,0.384597747,0.410596544,1.083123142,0.490794877,0.48616868,0.023490807,0.487725521,0.12645445,0.882041867,0.451186551,-1.456093419,-1.188027875,-0.054170135,-0.287374787,-0.237710424,0.373398774,-2.584424877,-2.048107522,0.465454669,-2.584424877,-0.43387692,-1.07348876,-2.584424877,-2.584424877,-0.438337786,0.159435843,-0.455703891,-0.68008859,0.427500639,0.410073293,0.697296688,0.66750085,0.640307075,0.425427651,0.605635614,0.73552506,0.400663283,0.359093101,1.005406673
CDH4,-1.208762801,0.442874813,-0.516449539,1.197512543,0.965404836,-0.008935648,-0.141545773,0.761879349,0.328399034,0.153275712,-0.396596169,0.906601212,0.837484096,1.697475116,1.408051065,0.686172936,0.383947025,0.717529366,0.297966875,0.331688005,-0.765349372,-0.754575092,-1.646112796,0.161893572,0.318634464,-1.428992967,0.086704341,3.368655481,-1.29109442,-0.531479769,-1.646112796,-0.141807349,-0.14542572,-1.646112796,-1.646112796,-1.08305699,-1.646112796,-0.65905143,-0.591314946,-0.338971357,-1.021235522,0.326312892,0.222039749,0.94705407,0.996342297,0.648797923,0.236295201,0.368852289,0.276428641,0.180935939
CREB5,-0.085323743,0.552359308,1.009328762,0.66721871,0.766413595,0.774831856,-0.09031796,0.535157417,0.579365264,0.741503859,-0.061398154,-0.486622807,0.05857856,0.855137066,1.235931387,0.852665847,1.021870283,0.75765106,0.45233276,0.897656555,0.23165186,-0.878350675,-0.4856799,-0.334814973,0.058298488,-0.561175361,0.253720908,-2.56900245,-0.890948068,0.458885763,-2.56900245,-0.439433731,-0.294976723,-2.56900245,-2.56900245,-0.288563821,-2.56900245,0.333876359,-0.051362159,0.452446616,-0.096449622,0.108810338,0.528597642,0.304730629,0.512156883,0.69679011,0.11396727,0.71215344,0.399168917,0.967172434
DAG1,0.391362292,0.406306995,0.80668495,0.822787072,0.597630235,0.601917404,0.055445427,0.616404506,0.768569665,0.717923566,0.339666673,0.147001682,0.218584043,1.009166498,0.903080476,0.367487462,0.12620457,0.580363121,0.780993005,0.720513135,0.190117179,-0.928061028,-2.727161341,-0.575743473,-0.10519592,-0.482183451,-0.029243997,1.160075645,-1.102314532,0.058596355,-1.608384681,-0.39961223,-0.741469393,-2.727161341,-2.727161341,-0.613686858,-2.727161341,-0.552325954,-0.290268278,0.099131529,0.423758592,0.529744167,0.781686162,0.604271255,0.520691772,0.359630444,0.459560297,0.601586971,0.723026512,0.847165504
DLC1,-1.108585388,0.241963557,-0.373497811,1.420370633,0.29835705,0.689066386,0.231816637,0.921811794,0.254613426,0.306574418,-0.422590371,0.817967272,0.898678088,1.375809135,0.439441501,0.955293341,1.04587618,0.702948027,0.296161599,0.795350157,-0.424860993,-1.008440072,-1.451193772,-0.006957589,-0.071335534,-0.512939362,0.593002953,-2.514606544,-0.873757477,-0.143184592,-1.180185835,0.260306554,0.025929292,-2.514606544,-2.514606544,0.395898305,-2.514606544,0.111073145,-0.101447931,0.106382299,-1.003835584,0.146472266,0.599490445,1.055449259,0.600768717,0.944525152,0.795419953,0.792612898,0.081449392,0.540358656
DMWD,0.462774427,0.616364135,0.28233376,0.853805552,0.537206925,0.723101012,-0.115066316,0.400014406,0.416181367,0.87765365,0.547376607,0.58149456,0.686284748,1.039981285,0.738327409,0.715652289,0.397833201,0.437430633,0.232175606,0.889228945,0.380940909,-1.309102996,0.061910733,-0.461567082,-0.187612142,-0.208707974,-0.033637506,-3.036134663,-0.574077519,0.06598109,-2.39348085,-0.58769846,-0.305562356,-3.036134663,-3.036134663,-0.239264856,-1.239923267,-0.316065017,-0.21247403,0.193363664,0.566463402,0.70718378,0.478812426,0.578441042,0.276779035,0.729047749,0.269985162,0.287504,0.318159372,0.942851482
FGFR3,-0.660600105,0.941330463,0.276411889,1.225893791,0.96048671,0.214634386,-1.658506836,1.281926742,0.496523189,-0.035142242,0.364624601,1.274512023,1.38426336,1.205512885,1.024694313,1.00443365,1.150279385,1.292150208,0.694475218,0.525974872,-0.521201734,-0.435464645,0.077933477,-0.682055291,-0.666218142,-1.309438917,-1.094603024,0.696383584,-0.955820013,-1.141145949,-0.999955227,-0.37562711,-0.464046721,-2.045258774,-2.045258774,-1.618979089,-2.045258774,0.060594546,-0.690510338,-1.034841346,-0.310479985,0.571211648,0.704608012,0.880497665,0.44193315,1.181919687,-0.241654936,1.020950776,0.253525814,-0.175618073
GJA1,0.02098898,0.665850873,0.109028624,1.346772056,0.684506487,0.595376314,0.49626054,0.983319155,0.892077311,-0.251298884,0.583881185,0.800565761,0.846240969,1.404353157,0.701374188,0.896696339,0.916179851,0.848153035,1.0449745,0.169685646,0.299952705,-0.29746971,-1.699274877,-0.114738655,-0.883785675,-1.106222225,0.093276273,-2.393260925,-1.079673981,-0.949472369,-0.275375669,-0.088403164,-1.644545331,-2.393260925,-2.393260925,-0.984912219,-1.213670186,-0.39822068,-0.729767292,-1.17194193,0.269093033,0.513322518,0.466637618,1.09642149,0.423289554,0.886230831,0.498956966,0.918132735,0.827839311,-0.230882383
GLG1,0.485776819,0.411156404,0.275973522,0.757173297,0.687949033,0.661914885,0.546805946,0.326074694,0.450264537,0.704272527,0.556903174,0.270225538,0.54123918,0.74165009,0.647133027,0.552910608,0.546791714,0.336587001,0.358502774,0.515049885,0.416733985,-0.516559942,-3.092439364,-0.306327266,-0.285659671,-0.541752104,0.30797199,-3.092439364,-0.812680907,0.113301417,-0.407021671,-0.345388661,-0.175574515,-3.092439364,-3.092439364,0.059798033,-0.36172504,-0.391916684,0.01470704,0.28207255,0.449297918,0.519501457,0.448061616,0.576741071,0.537269496,0.54326972,0.491951231,0.242550215,0.459950728,0.676830795
