,Sample_27_1,Sample_28_1,Sample_29_1,Sample_30_1,Sample_31_1,Sample_33_2,Sample_34_3,Sample_37_2,Sample_38_1,Sample_40_2,Sample_27_5,Sample_28_5,Sample_29_5,Sample_30_5,Sample_31_5,Sample_33_5,Sample_34_6,Sample_37_5,Sample_38_5,Sample_40_5,Sample_27_neg,Sample_28_neg,Sample_29_neg,Sample_30_neg,Sample_31_neg,Sample_33_neg,Sample_34_neg,Sample_37_neg,Sample_38_neg,Sample_40_neg,Sample_27_pos,Sample_28_pos,Sample_29_pos,Sample_30_pos,Sample_31_pos,Sample_33_pos,Sample_34_pos,Sample_37_pos,Sample_38_pos,Sample_40_pos,Sample_27_2,Sample_28_2,Sample_29_3,Sample_30_2,Sample_31_2,Sample_33_3,Sample_34_5,Sample_37_3,Sample_38_2,Sample_40_3
GUK1,0.094354215,0.443190873,0.420014381,0.122604962,0.325334007,-0.048190825,0.034847448,0.26509476,0.21674655,0.274682049,0.169733616,0.804976737,0.488479905,0.149667362,0.261229336,0.209259532,0.271412583,0.363655071,0.263345489,0.305353985,0.015152038,0.910514694,0.349133112,0.329321258,0.248432347,0.390259417,0.251163292,-3.299894268,0.460437627,0.224683229,0.311720185,0.75218375,0.477306117,-3.299894268,-3.299894268,0.072126497,-3.299894268,0.204410316,0.132036276,0.064578804,0.074915025,0.460328377,0.378816493,0.233449769,0.32026935,0.221991809,0.163669156,0.249115409,0.260520656,0.207250034
HPCAL4,-0.314095268,0.845922989,0.420983047,-0.099046724,-0.306432745,0.291064882,-1.28395701,1.593316968,0.55801525,0.170884744,0.468075489,2.043559031,2.275355791,-0.112937702,0.396068083,0.599581002,0.595924896,1.664168204,0.972387531,1.213387274,-0.775699186,0.532247045,0.783109668,-0.670089641,-0.636463326,-0.458069781,-1.154038546,-1.483256324,-1.154062301,-0.642308136,-1.483256324,-0.269041735,-0.71760179,-1.483256324,-1.483256324,-1.347087552,-1.483256324,-0.399242833,-0.930504081,-0.694336522,0.038367476,1.209447925,1.074046266,-0.532715074,0.028932763,1.674849125,-0.797978847,0.807463332,0.210734642,0.244096994
HPRT1,-0.483781073,-0.095987396,-0.060492558,-0.11349774,-0.401504368,0.446776225,0.949376646,0.855975079,-0.027660626,0.010324624,-0.360397486,1.369466498,1.714019959,-0.017813678,-0.213450452,-0.001320557,0.012564656,0.943438246,0.067280841,0.440462669,-0.012113798,-0.197943985,0.470201203,0.511219025,0.584708493,-0.029244805,0.847528259,-2.933385645,0.345762191,0.373641059,-0.125098306,-0.725100708,-0.118412474,-2.933385645,-2.933385645,0.550795561,-2.933385645,0.028030126,0.619300582,0.510176349,-0.327503114,0.653588645,0.489691809,-0.000300887,-0.073078637,1.017128528,1.021404444,0.164112951,-0.012173267,0.133443827
IMPA1,0.610812749,0.451804503,0.268453441,0.92925743,0.321565543,0.649943683,0.191182556,0.695808299,0.743081661,0.556038585,0.368720105,0.56188174,0.862430054,0.967287117,0.436014752,0.638127727,0.612027451,0.817293765,0.847106483,0.632644494,0.177457959,-2.2402894,-2.2402894,0.29288461,-0.094342518,-1.056141724,0.17885808,-2.2402894,-0.751954779,0.223947622,-2.2402894,-0.385384042,-0.416209251,-2.2402894,-2.2402894,0.120139002,-2.2402894,-0.335422596,-0.003381107,0.191568233,0.607143806,0.375799751,0.482982628,0.700825795,0.342385033,0.807987712,0.236694443,0.671645225,0.637382697,0.515677087
KCNJ3,-0.661340194,0.549755686,-0.005082057,-0.507817781,-0.57145123,0.329510064,-0.818969376,2.006492793,0.692632159,-0.733588895,0.157120662,2.130618641,3.001221413,-0.074960806,0.257032861,0.872294266,0.69339547,2.012226149,0.763850835,0.816298966,0.090742148,1.064606375,-0.898734592,-0.739813939,-0.858721189,-0.550659465,-0.838809304,-0.898734592,-0.758750461,-0.88186435,-0.898734592,-0.898734592,-0.898734592,-0.898734592,-0.898734592,-0.805229383,-0.898734592,-0.898734592,-0.660991607,-0.882515546,-0.329557348,1.156838434,1.094264671,-0.42823344,-0.163514861,1.920528428,-0.882039691,0.382347154,0.479111273,-0.228366199
MBP,-2.79096798,1.311777367,0.035675315,-0.516967702,-1.352102929,-0.908108956,-1.797728264,-0.007841354,0.220033669,-0.074413295,-0.091548884,0.281668119,0.456013841,-2.483689971,-0.390902468,1.295692647,1.579195766,0.890975433,0.628196092,0.50903792,0.248712735,0.15420897,1.552672465,1.097899655,-0.585187617,1.039091449,1.419709345,0.449103895,0.910121759,-0.605378173,-0.875385331,0.147175179,0.159310726,0.262558899,-0.957353057,0.00041577,-0.608705755,1.090869408,0.962467473,-0.521601317,-2.111421194,0.352169075,0.705790986,0.12563724,0.003425819,0.531432942,-0.951266883,0.6423063,-0.378062904,-1.054712224
MGST3,-0.211552001,0.256211543,0.16672462,-0.164624579,0.076969461,-0.351866172,-0.193792084,0.229425921,0.086208472,0.270165101,-0.0713278,0.756987978,0.60457836,-0.117345268,0.162602321,0.260627531,0.188291432,0.308261203,0.191107379,0.230840534,-0.20615745,1.036498644,0.51431953,0.423184088,0.555308184,0.645753946,0.043477249,1.593653883,0.190874456,0.18141939,-0.15574325,0.798965736,0.982395216,-4.309375028,-4.309375028,0.102359957,-1.747201329,-0.010528536,-0.060893328,0.000698377,-0.244589735,0.361852843,0.233802257,0.042434992,0.247682926,0.301969689,-0.27446853,0.083472209,0.115122794,0.184591895
MYBPC1,-0.817723616,1.260601902,0.105177026,1.545524597,-0.697013762,-0.505419277,-0.387829566,1.347027481,0.705439386,-0.558406023,0.67795274,1.293208323,1.231685508,1.429394211,-0.148145099,0.87707697,1.516491554,1.220144148,0.978962788,0.102828835,-0.596408689,0.438663006,1.493262275,0.053858149,-0.867070364,-1.172380217,-0.439881335,-1.534924332,-0.61126942,-1.178169902,-0.897432086,-0.435217061,-0.310844487,-1.534924332,-1.534924332,-1.406237742,-1.534924332,-1.262081565,-0.733409341,-1.234956696,-0.085229078,0.622078428,0.994525591,1.28839962,-0.241421471,0.978185285,0.171438383,0.952293034,0.564963658,-1.122938773
NSL1,0.571497912,0.580131471,0.570454092,0.285252812,0.1043118,0.597159841,-0.417476919,0.624868177,0.59920579,0.810238223,0.428483804,-0.132214855,0.157112285,0.77551265,0.720427307,0.739988047,0.890802285,0.526667888,0.80798289,0.915448213,0.274568747,-1.67802484,-1.839391224,0.380563427,0.311873118,-0.370605547,-0.023645401,-1.454929179,-0.648813959,0.411652199,-0.618659027,-0.668661289,0.081190921,-2.450217578,-4.503782012,0.344934773,-1.444535924,-0.591543611,0.202338299,0.387195282,0.531550276,0.375849005,0.317945563,-0.078792978,0.076189779,0.642326084,-0.032241624,0.641229169,0.381211673,0.887372166
NTSR2,-0.826761241,1.570645069,0.4349669,-0.001484719,0.436372149,-0.650859186,-1.187224792,1.470497378,1.016724185,-0.152499125,1.125226309,1.695756671,1.409664997,-0.425467603,0.704769805,1.022304642,1.320453661,1.395859266,1.576081763,0.706286462,-0.713157207,0.449082949,-1.187224792,-0.931136606,-1.074574057,-1.187224792,-1.152988694,-1.187224792,-0.521697161,-1.049791422,-1.187224792,0.732375612,0.046028994,-1.187224792,-1.187224792,-1.060952436,-1.187224792,-0.621263879,-0.49559742,-1.151242044,-0.196447052,0.916889969,1.018552374,-0.314157975,0.26934749,1.074655477,-1.082352102,1.200154105,0.891542269,-0.564010232
